hour,activity,gender
1,31.766666666666666,female
2,43.69834440190585,female
3,44.85855167349421,female
4,41.902564102564114,female
5,33.812820512820515,female
6,30.62435897435898,female
7,32.38950635935221,female
8,29.075547574392143,female
9,22.024358974358968,female
10,22.830769230769228,female
11,13.525641025641026,female
12,12.52179487179487,female
13,3.673076923076923,female
14,14.028205128205126,female
15,12.252564102564103,female
16,9.274358974358973,female
17,11.426923076923078,female
18,10.393589743589745,female
19,13.087179487179489,female
20,11.155128205128205,female
21,10.94102564102564,female
22,7.602564102564103,female
23,15.662820512820515,female
24,13.319230769230769,female
1,27.645673386343113,male
2,53.82179487179488,male
3,49.26282051282051,male
4,45.78717948717948,male
5,39.06153846153846,male
6,43.47194852983792,male
7,45.38492270070148,male
8,39.37452734909954,male
9,34.32068119525338,male
10,29.93846153846153,male
11,18.480769230769234,male
12,14.584615384615386,male
13,11.325641025641026,male
14,13.51923076923077,male
15,12.905128205128205,male
16,10.285897435897438,male
17,7.288461538461539,male
18,13.29473285352626,male
19,4.258974358974359,male
20,12.65528186317125,male
21,10.84871794871795,male
22,16.20236093822742,male
23,14.319230769230767,male
24,16.848717948717947,male
