hour,activity,gender
1,28.993739152308077,female
2,41.23076923076923,female
3,39.392181628788386,female
4,39.96553402410295,female
5,38.995405249379864,female
6,38.238353474180286,female
7,42.40759885644342,female
8,42.106936397132124,female
9,38.85711136276811,female
10,35.634609428218,female
11,28.279487179487173,female
12,21.864575444745512,female
13,14.017948717948716,female
14,13.733333333333338,female
15,11.518189040816022,female
16,5.53076923076923,female
17,9.244871794871795,female
18,9.827221894359745,female
19,8.544957932334471,female
20,6.29462556991883,female
21,8.360256410256412,female
22,11.711538461538462,female
23,10.792307692307693,female
24,19.707692307692312,female
1,30.863622104291835,male
2,49.69358974358974,male
3,44.66794871794871,male
4,41.485972246681406,male
5,39.58205128205129,male
6,35.721516989103804,male
7,39.189743589743586,male
8,41.72051282051282,male
9,38.01243178769195,male
10,30.822937981731386,male
11,22.43089332654908,male
12,28.394871794871793,male
13,11.464102564102564,male
14,10.707988261275252,male
15,9.81234005300978,male
16,9.702564102564102,male
17,8.5565343521901,male
18,6.294871794871796,male
19,5.868737720381215,male
20,7.994871794871795,male
21,7.277758096504812,male
22,7.370019771663269,male
23,7.435897435897436,male
24,12.240532592176088,male
