hour,activity,gender
1,34.45585365022773,female
2,45.844999466353215,female
3,47.70336643680646,female
4,43.72847432503823,female
5,40.79628857493684,female
6,38.197435897435895,female
7,39.48205128205129,female
8,29.570006393288345,female
9,26.537086035930603,female
10,23.160010185303445,female
11,17.404660948883784,female
12,14.11529116413573,female
13,11.025060080716827,female
14,12.8974358974359,female
15,8.358728134021396,female
16,8.385316490973235,female
17,10.294871794871794,female
18,6.897435897435898,female
19,6.121794871794872,female
20,10.754547260204005,female
21,11.707812469125962,female
22,10.938000754970993,female
23,18.717702492995752,female
24,18.27890623456298,female
1,29.41878098061573,male
2,53.47948717948719,male
3,49.72179487179487,male
4,45.05384615384615,male
5,38.12435897435897,male
6,44.215384615384615,male
7,42.68361108715623,male
8,44.39572174246031,male
9,35.38348699137638,male
10,21.65211707086378,male
11,24.0922586443629,male
12,14.078205128205127,male
13,11.001435709325097,male
14,12.897435897435896,male
15,12.046153846153844,male
16,8.534615384615384,male
17,10.988461538461538,male
18,5.629487179487179,male
19,6.741025641025642,male
20,10.0,male
21,8.357692307692307,male
22,15.802195149494393,male
23,11.235897435897435,male
24,15.40128205128205,male
