hour,activity,gender
1,33.40813231095149,female
2,42.42005498460866,female
3,44.80019467913338,female
4,38.88846153846154,female
5,32.0381045199554,female
6,30.146153846153847,female
7,36.2785039456418,female
8,35.455128205128204,female
9,31.397585306154234,female
10,20.073076923076922,female
11,15.427924774458477,female
12,16.31538461538461,female
13,6.324358974358974,female
14,6.683333333333334,female
15,16.235897435897435,female
16,10.13717948717949,female
17,7.833333333333333,female
18,10.303846153846155,female
19,10.61864982430657,female
20,13.76294067425416,female
21,11.18205128205128,female
22,11.580769230769231,female
23,9.817948717948719,female
24,17.81282051282051,female
1,28.315384615384616,male
2,52.045290330594376,male
3,51.317809776603184,male
4,41.75620709207357,male
5,42.02644261711235,male
6,44.892970342433486,male
7,41.846014904808314,male
8,44.97564102564103,male
9,39.084922700701476,male
10,37.46254263012944,male
11,28.902360938227414,male
12,27.335026852450888,male
13,21.132469817773867,male
14,11.429970114658204,male
15,16.465387090744905,male
16,10.525314223873341,male
17,15.026763748772934,male
18,10.886145627457122,male
19,8.217329316792451,male
20,14.069230769230769,male
21,9.858974358974361,male
22,11.921794871794871,male
23,18.23278976034879,male
24,21.82792724551406,male
