day,temperature,gender
1,36.70198140906746,Male
2,36.916470470594746,Male
3,36.5640064484127,Male
4,36.512355654761905,Male
5,36.73238846196131,Male
6,36.51691716269841,Male
7,36.79827879448314,Male
8,36.73855237315576,Male
9,36.22014533730158,Male
10,36.735400643206845,Male
11,36.67763696012897,Male
12,36.47662152777777,Male
13,36.84844191948711,Male
1,37.387025364479165,Female
2,37.334790911,Female
3,37.047749595049595,Female
4,37.34159743502133,Female
5,37.7621083857877,Female
6,37.29381312725298,Female
7,37.39948970257093,Female
8,37.341487593980155,Female
9,37.01605426660218,Female
10,37.006643269796626,Female
11,37.773089536859125,Female
12,36.83379404650347,Female
13,36.77496773344444,Female
