hour,activity,gender
1,31.38124211141218,female
2,46.73589743589744,female
3,47.14068935102948,female
4,43.9983816587218,female
5,42.206458847730566,female
6,32.890216470386534,female
7,35.52688953034155,female
8,32.24668324525845,female
9,25.598717948717947,female
10,28.984604227701837,female
11,16.952564102564104,female
12,13.638461538461538,female
13,4.796242873049088,female
14,10.283333333333333,female
15,11.053846153846154,female
16,6.321213926870673,female
17,7.225641025641026,female
18,4.257692307692308,female
19,10.176342131998878,female
20,12.121794871794872,female
21,14.648471723764986,female
22,11.956410256410255,female
23,16.016420441713702,female
24,15.948717948717952,female
1,30.469230769230766,male
2,55.3,male
3,52.09879275950193,male
4,54.853846153846156,male
5,48.0474358974359,male
6,44.583333333333336,male
7,45.296955437625165,male
8,43.42594834172712,male
9,34.77964083753023,male
10,22.597589555478944,male
11,19.344871794871796,male
12,15.191025641025643,male
13,17.235404387047883,male
14,9.014102564102565,male
15,17.97179487179487,male
16,6.746153846153845,male
17,11.917085202389249,male
18,7.552175377435533,male
19,10.658388385928507,male
20,10.534122335765833,male
21,24.50128205128205,male
22,8.576923076923077,male
23,16.446153846153848,male
24,17.636021531677276,male
