hour,activity,gender
1,32.69709622123405,female
2,47.3864473875634,female
3,47.749783871437494,female
4,46.62505423946527,female
5,42.587772529256085,female
6,46.22760188474602,female
7,45.10253055598257,female
8,51.705670956573776,female
9,48.18745266847308,female
10,36.89138888736242,female
11,29.821365130549836,female
12,23.085088265258328,female
13,12.638053118580945,female
14,12.853846153846153,female
15,11.381148660163294,female
16,7.741726747383492,female
17,4.420512820512821,female
18,11.408974358974358,female
19,11.718120992874073,female
20,10.253846153846155,female
21,7.667948717948718,female
22,10.423076923076923,female
23,18.824358974358976,female
24,16.48974358974359,female
1,30.95384615384615,male
2,55.43589743589743,male
3,50.258974358974356,male
4,45.21909182788524,male
5,41.9162779415381,male
6,48.16362210429183,male
7,45.50641025641025,male
8,39.24405581010177,male
9,28.833130168996654,male
10,20.621794871794876,male
11,17.408974358974355,male
12,15.343589743589746,male
13,11.733333333333333,male
14,14.217127640795809,male
15,13.911893021309462,male
16,6.637179487179487,male
17,10.116666666666665,male
18,8.466820324709714,male
19,4.874358974358974,male
20,20.673076923076923,male
21,17.746153846153845,male
22,22.152564102564103,male
23,21.890126063795567,male
24,16.79284382440272,male
