hour,activity,gender
1,34.547435897435896,female
2,46.69615384615385,female
3,44.34685495251169,female
4,41.23717948717948,female
5,34.191801265083214,female
6,31.198717948717942,female
7,30.73846153846154,female
8,32.400000000000006,female
9,22.779487179487184,female
10,19.410256410256412,female
11,18.034428482117615,female
12,15.97767854950551,female
13,7.924358974358975,female
14,8.769230769230768,female
15,10.546202437474157,female
16,10.663521619178367,female
17,7.651282051282052,female
18,3.898717948717949,female
19,12.445344675514745,female
20,13.392061467354726,female
21,9.451282051282051,female
22,15.180817822089539,female
23,12.810256410256411,female
24,13.355128205128207,female
1,32.1242964630538,male
2,53.128205128205124,male
3,52.185694271560756,male
4,39.026923076923076,male
5,42.057489143355625,male
6,39.60985008158305,male
7,40.4369763228428,male
8,41.15634612584869,male
9,35.3705876312968,male
10,28.04310928377901,male
11,24.243589743589748,male
12,18.405128205128207,male
13,12.652071053714549,male
14,8.455128205128204,male
15,9.044871794871794,male
16,13.22307692307692,male
17,4.242307692307692,male
18,11.248717948717948,male
19,5.31025641025641,male
20,8.532051282051283,male
21,10.343589743589744,male
22,8.51153846153846,male
23,15.389743589743587,male
24,16.691025641025643,male
